Company name,Status,Industry,Salary-Cuts,Location
Gartner,Layoffs,Consulting & Services,No,
Gartner India Research,Hiring freezes,Consulting & Services,Yes,India
GE Aviation,Hiring freezes,Travel & Transportation,Yes,
GE Digital,Hiring freezes,Business Software,No,"Hyderabad, Bangalore, Noida"
GE Healthcare,Layoffs,Healthcare,No,
Genpact,Layoffs,Consulting & Services,No,"United States, India"
Genpact,Layoffs,,Yes,
GEP,Layoffs,Productivity Software,No,India
Get Set homes,Hiring freezes,Consulting & Services,Yes,Mumbai
Getmeroof,Hiring freeze,Real Estate,,Bangalore
Getmeroof.com,Hiring,Real Estate,No,Bangalore
GetMyUni,Hiring freezes,Education Tech,Yes,
GetSetHome,Hiring freezes,Real Estate,Yes,India
Gigsky,Hiring freezes,Consumer Tech,Yes,India
Girmiti,Layoffs,Business Software,No,
Global Analytics,Hiring,Financial Services,Yes,Chennai
Global Logic,Hiring freezes,Consulting & Services,Yes,India
Global Payments,Layoffs,Financial Services,Yes,India
GlobalLogic,Hiring,Information Technology,No,Global
GMV Yoga,Hiring freezes,Healthcare,,India
GoAirlines,Layoffs,Travel & Transportation,Yes,India
Godrej,Hiring,Consumer Goods,,
GoFloaters,Hiring freezes,Real Estate,,
Goibibo,Hiring freezes,Travel & Transportation,Yes,India
Goibibo,Layoffs,Travel & Transportation,Yes,
Gojek,Hiring,Consumer Services,No,
Gojek,Hiring freezes,Consumer Services,,Bangalore
Gojek,Hiring freezes,Consumer Tech,,
Goldman Sachs,Hiring freezes,Financial Services,No,
Google,Hiring,Consumer Tech,No,India
GOQii,Hiring freezes,Healthcare,No,Mumbai
Gpuzzles.com,Hiring,Productivity Software,No,India
Grabox,Hiring,Retail,,India
Grabox,Hiring,Retail,,Bangalore
Gradeup,Hiring,Education Tech,,Noida
Gramener,Offer rescinded,Business Software,,"Bangalore, Hyderbad"
Grassik,Hiring,Manufacturing,,Multiple Locations
Great Voucher Place,Hiring,Consumer Services,,"Pune, Mumbai, Bangalore"
Grexter,Layoffs,Real Estate,Yes,Bangalore
Groupon,Hiring freezes,,No,All places
Growfit,Hiring,Productivity Software,,"Chennai, Bangalore, Hyderabad"
Growfit,Hiring,Consumer Goods,,Bangalore
Grubox,Layoffs,Consumer Goods,Yes,India
Guardian Life,Hiring,Financial Services,No,"Gurgaon, Chennai"
Gutenberg,Hiring freezes,Marketing & Advertising,Yes,"Pune, Delhi, Bangalore, Hyderabad"
GyanSys Infotech,Hiring,Consulting & Services,No,Bangalore
HackerRank,Hiring,,,
Halliburton,Hiring freezes,Energy,,"Mumbai,Gurugram"
Happay,Layoffs,Financial Services,Yes,"Bangalore, Mumbai, Delhi"
Harman Connected Services,Hiring freezes,Consulting & Services,No,India
HCCB,Hiring,Consumer Goods,No,
HCL,Hiring freezes,Business Software,,India
HCL,Layoffs,Business Software,No,India
Headout,Hiring,Travel & Transportation,No,"India, US"
Healofy,Layoffs,Consumer Tech,Yes,Bangalore
Healofy,Layoffs,Consumer Tech,Yes,Bangalore
Healofy,Hiring,Consumer Tech,,
Healofy,Hiring,Consumer Tech,,Bangalore
Healofy,Layoffs,Business Software,Yes,India
Healofy,Layoffs,Consumer Tech,Yes,India
Health total,Hiring,Healthcare,Yes,Andheri
HealthifyMe,Hiring freezes,Healthcare,Yes,India
HealthifyMe,Layoffs,Healthcare,Yes,India
HealthifyMe,Hiring,Healthcare,Yes,Bangalore
Healthkart,Layoffs,E-Commerce,Yes,
Henkel,Hiring,Financial Services,,Mumbai
Henkel,Hiring,Manufacturing,,India
Hevo Data Inc,Hiring,Business Software,No,Bangalore
Hewlett Packard Enterprise,Hiring,IT Infrastucture,No,
Hewlett Packard Inc.,Hiring freezes,IT Infrastucture,No,
Hexaware,Hiring,IT Infrastucture,Yes,
Hexaware Interactive,Hiring,Consulting & Services,,India
Highbar Technocrats,Hiring,Consulting & Services,No,India
HighRadius,Hiring freezes,Business Software,Yes,Hyderabad
Himgiri Castings Pvt Ltd,Hiring,Manufacturing,,India
Hinduja Global Solutions,Hiring freezes,Consulting & Services,No,India
Hindustan Unilever,Hiring,Consumer Goods,,
Hitachi Vantara,Layoffs,Consulting & Services,No,
Hobby Lobby,Hiring freezes,Retail,Yes,United States
Holidayme,Layoffs,Hospitality,Yes,Pune
Homelane,Hiring freezes,Real Estate,No,
Homelane,Offer rescinded,Real Estate,,Bangalore
Honeywell,Hiring freezes,Consulting & Services,Yes,"Worldwide, Bangalore, Hyderabad"
Honeywell,Hiring,Consulting & Services,Yes,India
Honeywell,Hiring freezes,Consulting & Services,Yes,
Honeywell International,Hiring freezes,Consulting & Services,Yes,Global
HoppJobs,Hiring,Consulting & Services,No,Noida
Hopscotch,Layoffs,Retail,Yes,Mumbai
Hopscotch,Hiring freezes,Retail,Yes,Mumbai
HostBooks Limited,Hiring,Business Software,No,Gurgaon
Hotstar,Hiring,Consumer Tech,No,"Bangalore, Mumbai"
HSBC,Hiring freezes,Financial Services,No,Worldwide
Hsbc electronics,Hiring freeze,Financial Services,,Bangalore
HSBC Technologies India,Hiring,IT Infrastucture,No,Pune
Hungerbox,Hiring freezes,E-Commerce,Yes,Bangalore
HungerBox,Hiring,Food & Dining,No,India
HungryNaki,Hiring,Food & Dining,,
Huron Consulting Group,Hiring,Consulting & Services,No,
IBM,Hiring freeze,Information Technology,,
IBM India,Hiring freezes,Business Software,,India
Icertis,Hiring,Business Software,No,"India, US, Europe"
ICICI BANK,Hiring,Financial Services,No,India
ICICI Bank,Hiring freezes,Financial Services,No,India
ICICI Prudential AMC,Hiring freezes,Financial Services,No,Mumbai
Icreon Communication,Layoffs,IT Infrastucture,No,Noida
Idemia,Layoffs,Business Software,No,
Iffort,Hiring freezes,Marketing & Advertising,No,Noida
IHS Markit,Hiring,Financial Services,No,India
ImageKit.io,Hiring,Information Technology,No,India
Impact analytics,Hiring freezes,Business Software,Yes,Bangalore
IMS Learning Resources,Layoffs,Education Tech,Yes,India
Inc42 Media,Hiring,Media & Entertainment,No,New Delhi
Increff,Hiring freezes,Business Software,No,Bangalore
IND1,Hiring,Financial Services,,India
IND1- Travel Now Pay Later,Hiring,Travel & Transportation,,Hyderabad
IND1- Travel Now Pay Later,Hiring,Travel & Transportation,,Hyderabad
Indeed India,Hiring freezes,HR Tech,No,"Hyderabad, Bangalore"
India express,Hiring freezes,Media & Entertainment,Yes,Delhi
India Shelter,Hiring freezes,Financial Services,No,India
India Today,Layoffs,Media & Entertainment,,India
Indian Energy exchange,Hiring,Energy,No,Delhi
Indian Express,Hiring freezes,Media & Entertainment,Yes,India
Indian Express,Hiring freeze,Media & Entertainment,Yes,India
Indian Oil Corporation Ltd,Hiring freezes,Energy,No,Pan India
IndiaNivesh,Layoffs,Financial Services,Yes,Mumbai
IndiGo,Hiring freezes,Travel & Transportation,Yes,India
Indo Nissin Foods,Hiring,Consumer Goods,No,India
INDwealth,Hiring,Financial Services,No,"Gurugram, India"
inFeedo,Hiring,HR Tech,No,"Gurgaon, India"
Infoblox,Hiring,Business Software,No,India
Infoedge,Hiring freezes,Consumer Services,,Noida
Informatica,Hiring freezes,Consumer Tech,Yes,
